date,symbol,grade,action,score,close,structure
2026-07-07,JBCHEPHARM,A,ACT,62,2422.0,
2026-07-07,INDUSINDBK,A,ACT,56,1022.25,
2026-07-07,EIHOTEL,A,WATCH,37,336.95,
2026-07-07,VENUSPIPES,A,IGNORE,25,1845.4,
2026-07-07,RBLBANK,A,IGNORE,16,375.1,
2026-07-07,AMBER,A,IGNORE,10,7625.0,
2026-07-07,CAPITALSFB,B,ACT,74,295.25,
2026-07-07,MAXESTATES,B,WATCH,54,443.35,
2026-07-07,PANSARI,B,LATE,52,355.05,
2026-07-07,SATIN,B,WATCH,50,263.29,
2026-07-07,MANAPPURAM,B,IGNORE,14,342.1,
2026-07-08,AVANTEL,B,ACT,59,182.2,
2026-07-08,AGARWALEYE,B,WATCH,53,477.85,
2026-07-09,AKUMS,B,WATCH,52,658.2,
2026-07-10,ARE&M,B,ACT,70,890.05,
2026-07-10,MAHLIFE,B,ACT,70,378.9,
2026-07-10,VENKEYS,B,ACT,62,1485.7,
2026-07-10,ARKADE,B,ACT,60,132.56,
2026-07-10,SIGNATURE,B,WATCH,48,848.85,
2026-07-10,AETHER,B,LATE,18,1500.8,
2026-07-13,ARKADE,A,ACT,58,140.85,
2026-07-13,FMGOETZE,A,WATCH,51,471.25,
2026-07-13,TATATECH,A,WATCH,50,760.8,
2026-07-13,RALLIS,A,WATCH,38,230.66,
2026-07-13,GODREJPROP,A,WATCH,38,2162.6,
2026-07-13,CROMPTON,A,IGNORE,34,261.8,
2026-07-13,DCBBANK,A,IGNORE,31,192.24,
2026-07-13,JSWCEMENT,A,IGNORE,29,138.29,
2026-07-13,LICHSGFIN,A,IGNORE,25,551.9,
2026-07-13,EMBDL,A,IGNORE,23,66.93,
2026-07-13,FRACTAL,A,IGNORE,21,854.0,
2026-07-13,MPHASIS,A,IGNORE,21,2390.4,
2026-07-13,GREENLAM,A,IGNORE,13,260.95,
2026-07-13,HUHTAMAKI,A,IGNORE,9,221.53,
2026-07-13,NACLIND,A,LATE,3,243.02,
2026-07-13,MVGJL,B,ACT,63,165.14,
2026-07-13,SENCO,B,LATE,52,381.0,
2026-07-13,SOLEX,B,WATCH,49,1006.9,
2026-07-13,JUBLINGREA,B,IGNORE,32,733.2,
2026-07-13,DLF,B,IGNORE,21,682.35,
2026-07-14,INDOBORAX,A,LATE,23,486.7,
2026-07-14,FMGOETZE,B,ACT,70,468.65,
2026-07-14,GKSL,B,ACT,58,132.74,
2026-07-14,JBCHEPHARM,B,ACT,57,2487.6,
2026-07-14,TCS,B,IGNORE,32,2200.6,
2026-07-14,INTELLECT,B,IGNORE,22,757.8,
2026-07-14,CUPID,B,LATE,16,216.77,
2026-07-15,ARIHANTSUP,B,ACT,57,265.9,
2026-07-15,AARTIDRUGS,B,WATCH,54,421.6,
2026-07-15,RHETAN,B,LATE,46,30.15,
2026-07-15,TRF,B,IGNORE,28,255.39,
2026-07-16,IPCALAB,A,ACT,62,1890.2,
2026-07-16,BLUESTONE,B,IGNORE,10,605.2,
2026-07-17,UDS,A,ACT,70,194.21,
2026-07-17,RELIANCE,A,WATCH,38,1327.2,
2026-07-17,ITC,A,IGNORE,27,280.7,
2026-07-17,AKCAPIT,B,IGNORE,23,1781.6,
2026-07-17,MBAPL,B,IGNORE,18,136.2,
2026-07-20,MANYAVAR,A,WATCH,44,413.95,
2026-07-20,SHREEJISPG,A,LATE,17,615.85,
2026-07-20,HUHTAMAKI,B,LATE,52,249.79,
2026-07-20,DHAMPURSUG,B,WATCH,36,145.42,
2026-07-20,TIMETECHNO,B,WATCH,35,213.11,
2026-07-21,FCL,A,ACT,55,40.05,
2026-07-21,NELCO,A,WATCH,40,928.5,
2026-07-21,LENSKART,A,IGNORE,32,549.05,
2026-07-21,HOMEFIRST,A,IGNORE,19,1280.1,
2026-07-21,ASTRAL,A,IGNORE,13,1415.1,
2026-07-21,EXIDEIND,B,IGNORE,33,443.45,
2026-07-21,RICOAUTO,B,IGNORE,21,137.58,
2026-07-22,GABRIEL,B,ACT,62,1424.6,
2026-07-22,SPLPETRO,B,ACT,62,734.3,
2026-07-22,JSWSTEEL,B,ACT,62,1266.9,
2026-07-22,JKCEMENT,B,IGNORE,33,5762.0,
2026-07-22,ARIS,B,IGNORE,20,118.19,
2026-07-23,MEDANTA,A,ACT,62,1378.2,
2026-07-23,ARFIN,A,IGNORE,31,90.34,
2026-07-23,ARIHANTCAP,B,ACT,69,81.45,
2026-07-23,TVSMOTOR,B,IGNORE,23,3919.8,
2026-07-27,LLOYDSENGG,A,IGNORE,12,91.33,Continuation
2026-07-27,RITCO,B,ACT,62,295.1,Continuation
2026-07-27,GUJALKALI,B,ACT,62,694.1,Continuation
2026-07-27,SPLPETRO,B,ACT,62,760.9,Continuation
2026-07-27,ENTERO,B,ACT,59,1273.4,Continuation
2026-07-27,RICOAUTO,B,ACT,59,145.59,Continuation
2026-07-27,PVRINOX,B,LATE,52,1123.2,Extended
2026-07-27,LXCHEM,B,WATCH,50,193.05,Continuation
2026-07-27,BLUESTONE,B,IGNORE,43,820.75,Extended
2026-07-27,WHIRLPOOL,B,IGNORE,34,794.8,Base accumulation
2026-07-27,MANALIPETC,B,IGNORE,33,66.97,Continuation
2026-07-28,SANOFICONR,A,ACT,62,4707.2,Continuation
2026-07-28,TECHM,A,WATCH,44,1635.2,Neutral
2026-07-28,NRBBEARING,A,WATCH,36,422.8,Continuation
2026-07-28,TCS,A,WATCH,36,2398.0,Neutral
2026-07-28,MARUTI,A,IGNORE,28,13802.0,Base accumulation
2026-07-28,DLF,A,IGNORE,27,663.05,Base accumulation
2026-07-28,GLAXO,A,IGNORE,27,2632.6,Neutral
2026-07-28,LTTS,A,IGNORE,23,3599.3,Base accumulation
2026-07-28,BDL,A,IGNORE,20,1271.0,Neutral
2026-07-28,VIMTALABS,A,IGNORE,18,601.95,Continuation
2026-07-28,SHANTIGEAR,B,WATCH,70,419.95,Base accumulation
2026-07-28,NESTLEIND,B,ACT,60,1491.8,Continuation
2026-07-28,MPHASIS,B,ACT,59,2413.5,Base accumulation
2026-07-28,SJS,B,WATCH,50,2355.6,Continuation
2026-07-28,GPTHEALTH,B,WATCH,48,167.32,Continuation
2026-07-28,ACC,B,WATCH,47,1341.8,Base accumulation
2026-07-28,RSL,B,WATCH,43,139.45,Neutral
2026-07-28,SHALPAINTS,B,LATE,7,67.7,Extended
